time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/15;1.993;;;Demanda de Desifetante Juá Lavanda CX C/12x1000ML - Jan_2015 a Dez_2019;;;;;;;;;;;;;;;;;;;;;;;;;
fev/15;1.693;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/15;2.084;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/15;1.978;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/15;1.870;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/15;1.732;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/15;2.102;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/15;1.766;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/15;1.684;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/15;1.810;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/15;1.631;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/15;1.969;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/16;1.873;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/16;1.936;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/16;1.611;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/16;2.021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/16;1.673;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/16;1.779;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/16;1.781;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/16;2.034;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/16;1.879;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/16;1.702;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/16;1.909;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/16;1.734;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/17;1.848;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/17;1.563;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/17;2.399;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/17;1.745;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/17;1.856;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/17;1.809;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/17;1.692;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/17;1.836;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/17;2.050;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/17;1.769;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/17;1.719;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/17;2.233;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/18;2.083;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/18;1.998;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/18;1.363;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/18;1.765;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/18;1.825;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/18;1.835;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/18;1.599;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/18;1.671;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/18;1.637;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/18;1.703;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/18;1.181;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/18;1.346;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jan/19;1.515;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fev/19;1.410;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar/19;1.436;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr/19;1.452;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mai/19;1.838;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun/19;1.195;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul/19;1.583;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago/19;1.730;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set/19;1.539;;;;;;;;;;;;;;;;;;;;;;;;;;;;
out/19;1.718;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nov/19;1.260;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dez/19;1.335;;;;;;;;;;;;;;;;;;;;;;;;;;;;
